Start	Ende	Type	Property	Counter:long
260	56	B	Property	342
549	56	A	Property	343
921	57	A	Property	344
84	57	C	Property	345
57	157	B	Property	346
57	177	A	Property	347
547	57	C	Property	348
57	336	B	Property	349
57	891	A	Property	350
58	256	A	Property	351
59	153	B	Property	352
59	976	A	Property	353
60	404	B	Property	354
617	60	A	Property	355
329	60	C	Property	356
60	550	B	Property	357
523	60	A	Property	358
60	169	C	Property	359
60	267	B	Property	360
282	60	A	Property	361
61	814	A	Property	362
61	428	C	Property	363
61	358	B	Property	364
61	498	A	Property	365
61	604	C	Property	366
61	433	B	Property	367
61	527	A	Property	368
151	61	C	Property	369
61	706	B	Property	370
61	726	A	Property	371
62	138	A	Property	372
62	398	C	Property	373
62	65	B	Property	374
62	464	A	Property	375
62	707	C	Property	376
62	366	B	Property	377
364	62	A	Property	378
63	682	B	Property	379
225	63	A	Property	380
258	64	C	Property	381
848	64	B	Property	382
64	766	A	Property	383
899	64	C	Property	384
64	567	B	Property	385
64	252	A	Property	386
722	64	C	Property	387
64	678	B	Property	388
505	64	A	Property	389
566	65	B	Property	390
558	65	A	Property	391
386	65	C	Property	392
923	65	B	Property	393
604	65	A	Property	394
66	163	A	Property	395
419	66	C	Property	396
66	618	B	Property	397
66	228	A	Property	398
67	381	A	Property	399
68	697	B	Property	400
68	881	A	Property	401
897	69	C	Property	402
494	69	B	Property	403
69	679	A	Property	404
70	736	A	Property	405
809	70	C	Property	406
699	70	B	Property	407
70	740	A	Property	408
70	538	C	Property	409
70	190	B	Property	410
955	70	A	Property	411
70	607	C	Property	412
70	384	B	Property	413
604	70	A	Property	414
185	71	A	Property	415
252	71	C	Property	416
71	617	B	Property	417
71	369	A	Property	418
910	71	C	Property	419
71	156	B	Property	420
71	239	A	Property	421
186	72	C	Property	422
752	72	B	Property	423
72	412	A	Property	424
72	535	C	Property	425
247	72	B	Property	426
72	788	A	Property	427
72	314	C	Property	428
72	555	B	Property	429
948	72	A	Property	430
73	136	C	Property	431
73	194	B	Property	432
648	73	A	Property	433
73	793	C	Property	434
749	73	B	Property	435
874	73	A	Property	436
943	73	C	Property	437
73	891	B	Property	438
687	73	A	Property	439
127	74	A	Property	440
74	140	C	Property	441
74	186	B	Property	442
607	74	A	Property	443
260	74	C	Property	444
529	74	B	Property	445
74	749	A	Property	446
379	75	A	Property	447
75	605	C	Property	448
75	605	B	Property	449
75	941	A	Property	450
75	351	C	Property	451
75	233	B	Property	452
714	75	A	Property	453
137	76	B	Property	454
494	76	A	Property	455
862	77	C	Property	456
355	77	B	Property	457
561	77	A	Property	458
669	77	C	Property	459
77	372	B	Property	460
976	77	A	Property	461
77	752	C	Property	462
497	77	B	Property	463
77	116	A	Property	464
78	294	B	Property	465
78	305	A	Property	466
79	773	A	Property	467
79	360	C	Property	468
291	79	B	Property	469
676	79	A	Property	470
949	79	C	Property	471
104	79	B	Property	472
79	111	A	Property	473
80	888	B	Property	474
80	152	A	Property	475
80	744	C	Property	476
274	80	B	Property	477
851	80	A	Property	478
80	831	C	Property	479
202	80	B	Property	480
80	453	A	Property	481
383	81	B	Property	482
81	130	A	Property	483
82	271	A	Property	484
82	651	C	Property	485
549	82	B	Property	486
133	82	A	Property	487
82	735	C	Property	488
82	911	B	Property	489
340	82	A	Property	490
82	617	C	Property	491
82	961	B	Property	492
946	82	A	Property	493
83	560	B	Property	494
83	114	A	Property	495
83	433	C	Property	496
387	83	B	Property	497
340	83	A	Property	498
439	83	C	Property	499
418	83	B	Property	500
83	449	A	Property	501
84	504	A	Property	502
510	84	C	Property	503
315	84	B	Property	504
236	84	A	Property	505
84	579	C	Property	506
563	84	B	Property	507
84	638	A	Property	508
255	84	C	Property	509
934	84	B	Property	510
752	84	A	Property	511
875	85	B	Property	512
85	762	A	Property	513
866	86	A	Property	514
86	318	C	Property	515
663	86	B	Property	516
311	86	A	Property	517
321	86	C	Property	518
468	86	B	Property	519
433	86	A	Property	520
743	87	A	Property	521
87	839	C	Property	522
87	376	B	Property	523
603	87	A	Property	524
355	87	C	Property	525
581	87	B	Property	526
87	863	A	Property	527
121	88	B	Property	528
253	88	A	Property	529
89	786	B	Property	530
395	89	A	Property	531
723	89	C	Property	532
116	89	B	Property	533
817	89	A	Property	534
379	90	A	Property	535
345	91	A	Property	536
956	92	A	Property	537
303	93	A	Property	538
93	494	C	Property	539
93	856	B	Property	540
255	93	A	Property	541
93	706	C	Property	542
822	93	B	Property	543
368	93	A	Property	544
94	584	C	Property	545
111	94	B	Property	546
94	434	A	Property	547
95	421	A	Property	548
696	95	C	Property	549
95	565	B	Property	550
967	95	A	Property	551
446	95	C	Property	552
95	698	B	Property	553
95	362	A	Property	554
95	928	C	Property	555
95	726	B	Property	556
95	638	A	Property	557
239	96	A	Property	558
776	96	C	Property	559
96	526	B	Property	560
96	236	A	Property	561
669	96	C	Property	562
796	96	B	Property	563
141	96	A	Property	564
172	96	C	Property	565
96	965	B	Property	566
96	667	A	Property	567
97	444	A	Property	568
760	98	C	Property	569
98	592	B	Property	570
358	98	A	Property	571
98	305	C	Property	572
113	98	B	Property	573
98	145	A	Property	574
568	99	B	Property	575
856	99	A	Property	576
439	99	C	Property	577
99	742	B	Property	578
99	394	A	Property	579
887	99	C	Property	580
99	785	B	Property	581
305	99	A	Property	582
293	100	A	Property	583
100	969	C	Property	584
100	276	B	Property	585
100	884	A	Property	586
911	101	C	Property	587
101	431	B	Property	588
714	101	A	Property	589
102	982	C	Property	590
529	102	B	Property	591
102	372	A	Property	592
996	102	C	Property	593
102	770	B	Property	594
102	169	A	Property	595
174	102	C	Property	596
102	321	B	Property	597
102	757	A	Property	598
103	383	A	Property	599
118	103	C	Property	600
103	883	B	Property	601
103	500	A	Property	602
103	859	C	Property	603
578	103	B	Property	604
103	276	A	Property	605
104	390	B	Property	606
104	444	A	Property	607
104	148	C	Property	608
104	864	B	Property	609
514	104	A	Property	610
896	104	C	Property	611
104	176	B	Property	612
454	104	A	Property	613
105	744	B	Property	614
841	105	A	Property	615
178	106	B	Property	616
106	482	A	Property	617
106	195	C	Property	618
106	772	B	Property	619
505	106	A	Property	620
107	493	B	Property	621
973	107	A	Property	622
910	107	C	Property	623
866	107	B	Property	624
882	107	A	Property	625
311	108	A	Property	626
109	242	C	Property	627
724	109	B	Property	628
109	522	A	Property	629
109	421	C	Property	630
109	607	B	Property	631
109	343	A	Property	632
109	715	C	Property	633
447	109	B	Property	634
173	109	A	Property	635
110	144	A	Property	636
111	840	B	Property	637
991	111	A	Property	638
876	111	C	Property	639
455	111	B	Property	640
633	111	A	Property	641
111	732	C	Property	642
179	111	B	Property	643
837	111	A	Property	644
831	112	B	Property	645
112	906	A	Property	646
980	113	A	Property	647
114	663	B	Property	648
114	962	A	Property	649
691	115	A	Property	650
859	115	C	Property	651
115	677	B	Property	652
115	626	A	Property	653
302	115	C	Property	654
220	115	B	Property	655
214	115	A	Property	656
116	785	A	Property	657
182	116	C	Property	658
116	576	B	Property	659
116	783	A	Property	660
557	116	C	Property	661
816	116	B	Property	662
116	961	A	Property	663
117	561	B	Property	664
604	117	A	Property	665
117	135	C	Property	666
542	117	B	Property	667
117	318	A	Property	668
118	358	A	Property	669
118	710	C	Property	670
118	873	B	Property	671
964	118	A	Property	672
118	778	C	Property	673
337	118	B	Property	674
118	952	A	Property	675
809	119	A	Property	676
551	119	C	Property	677
326	119	B	Property	678
850	119	A	Property	679
120	977	A	Property	680
120	477	C	Property	681
120	836	B	Property	682
120	368	A	Property	683
120	195	C	Property	684
120	919	B	Property	685
608	120	A	Property	686
805	120	C	Property	687
120	936	B	Property	688
120	783	A	Property	689
121	775	A	Property	690
121	650	C	Property	691
121	404	B	Property	692
579	121	A	Property	693
121	699	C	Property	694
121	831	B	Property	695
882	121	A	Property	696
121	773	C	Property	697
121	274	B	Property	698
121	986	A	Property	699
137	122	A	Property	700
122	188	C	Property	701
230	122	B	Property	702
491	122	A	Property	703
123	625	A	Property	704
124	836	A	Property	705
125	471	B	Property	706
659	125	A	Property	707
126	323	A	Property	708
465	126	C	Property	709
126	949	B	Property	710
126	172	A	Property	711
126	630	C	Property	712
180	126	B	Property	713
691	126	A	Property	714
749	127	B	Property	715
127	442	A	Property	716
362	128	A	Property	717
128	211	C	Property	718
494	128	B	Property	719
565	128	A	Property	720
448	129	A	Property	721
129	733	C	Property	722
256	129	B	Property	723
129	724	A	Property	724
496	130	A	Property	725
696	130	C	Property	726
685	130	B	Property	727
130	244	A	Property	728
553	130	C	Property	729
663	130	B	Property	730
712	130	A	Property	731
130	316	C	Property	732
172	130	B	Property	733
130	910	A	Property	734
736	131	B	Property	735
140	131	A	Property	736
715	132	B	Property	737
132	280	A	Property	738
232	132	C	Property	739
533	132	B	Property	740
197	132	A	Property	741
727	132	C	Property	742
132	906	B	Property	743
132	842	A	Property	744
133	782	B	Property	745
133	791	A	Property	746
335	134	A	Property	747
489	135	B	Property	748
135	273	A	Property	749
135	946	C	Property	750
135	926	B	Property	751
778	135	A	Property	752
404	136	A	Property	753
216	136	C	Property	754
136	762	B	Property	755
136	156	A	Property	756
136	619	C	Property	757
958	136	B	Property	758
831	136	A	Property	759
445	137	A	Property	760
312	137	C	Property	761
137	615	B	Property	762
360	137	A	Property	763
137	851	C	Property	764
137	548	B	Property	765
137	301	A	Property	766
725	137	C	Property	767
702	137	B	Property	768
137	892	A	Property	769
881	138	C	Property	770
432	138	B	Property	771
138	437	A	Property	772
138	381	C	Property	773
657	138	B	Property	774
138	236	A	Property	775
139	955	B	Property	776
139	669	A	Property	777
262	140	A	Property	778
987	140	C	Property	779
941	140	B	Property	780
140	553	A	Property	781
140	447	C	Property	782
216	140	B	Property	783
899	140	A	Property	784
189	141	B	Property	785
141	484	A	Property	786
141	197	C	Property	787
141	451	B	Property	788
962	141	A	Property	789
443	141	C	Property	790
141	615	B	Property	791
141	685	A	Property	792
142	551	A	Property	793
142	827	C	Property	794
328	142	B	Property	795
334	142	A	Property	796
549	142	C	Property	797
348	142	B	Property	798
142	622	A	Property	799
146	143	A	Property	800
143	882	C	Property	801
143	851	B	Property	802
143	974	A	Property	803
718	143	C	Property	804
143	536	B	Property	805
143	506	A	Property	806
144	993	C	Property	807
494	144	B	Property	808
144	486	A	Property	809
144	874	C	Property	810
639	144	B	Property	811
144	821	A	Property	812
144	515	C	Property	813
465	144	B	Property	814
168	144	A	Property	815
178	145	C	Property	816
372	145	B	Property	817
846	145	A	Property	818
145	515	C	Property	819
145	496	B	Property	820
676	145	A	Property	821
627	145	C	Property	822
285	145	B	Property	823
145	985	A	Property	824
384	146	A	Property	825
775	146	C	Property	826
662	146	B	Property	827
146	864	A	Property	828
146	652	C	Property	829
403	146	B	Property	830
146	983	A	Property	831
147	915	A	Property	832
147	904	C	Property	833
147	850	B	Property	834
818	147	A	Property	835
875	147	C	Property	836
147	402	B	Property	837
270	147	A	Property	838
147	924	C	Property	839
756	147	B	Property	840
147	817	A	Property	841
541	148	A	Property	842
148	837	C	Property	843
148	552	B	Property	844
762	148	A	Property	845
267	149	A	Property	846
149	847	C	Property	847
624	149	B	Property	848
929	149	A	Property	849
324	149	C	Property	850
747	149	B	Property	851
721	149	A	Property	852
857	149	C	Property	853
807	149	B	Property	854
149	443	A	Property	855
150	415	C	Property	856
305	150	B	Property	857
150	450	A	Property	858
151	459	C	Property	859
528	151	B	Property	860
533	151	A	Property	861
937	151	C	Property	862
872	151	B	Property	863
151	978	A	Property	864
152	715	A	Property	865
152	259	C	Property	866
152	565	B	Property	867
344	152	A	Property	868
534	152	C	Property	869
152	563	B	Property	870
507	152	A	Property	871
153	956	B	Property	872
153	996	A	Property	873
153	316	C	Property	874
153	989	B	Property	875
348	153	A	Property	876
153	356	C	Property	877
153	822	B	Property	878
153	305	A	Property	879
154	161	B	Property	880
641	154	A	Property	881
154	530	C	Property	882
154	700	B	Property	883
663	154	A	Property	884
155	807	A	Property	885
155	185	C	Property	886
155	875	B	Property	887
262	155	A	Property	888
943	156	C	Property	889
156	480	B	Property	890
322	156	A	Property	891
156	813	C	Property	892
447	156	B	Property	893
328	156	A	Property	894
837	156	C	Property	895
156	898	B	Property	896
341	156	A	Property	897
157	619	A	Property	898
425	157	C	Property	899
157	854	B	Property	900
157	349	A	Property	901
879	158	B	Property	902
158	610	A	Property	903
158	617	C	Property	904
158	264	B	Property	905
968	158	A	Property	906
159	523	B	Property	907
833	159	A	Property	908
160	260	C	Property	909
730	160	B	Property	910
160	653	A	Property	911
191	161	A	Property	912
648	161	C	Property	913
978	161	B	Property	914
161	219	A	Property	915
162	459	C	Property	916
869	162	B	Property	917
162	835	A	Property	918
162	642	C	Property	919
844	162	B	Property	920
162	341	A	Property	921
163	513	B	Property	922
163	356	A	Property	923
289	164	A	Property	924
895	164	C	Property	925
164	659	B	Property	926
458	164	A	Property	927
164	520	C	Property	928
227	164	B	Property	929
297	164	A	Property	930
616	165	B	Property	931
165	703	A	Property	932
165	908	C	Property	933
520	165	B	Property	934
454	165	A	Property	935
614	166	A	Property	936
635	166	C	Property	937
990	166	B	Property	938
166	437	A	Property	939
509	166	C	Property	940
166	502	B	Property	941
430	166	A	Property	942
167	589	B	Property	943
167	259	A	Property	944
167	404	C	Property	945
167	624	B	Property	946
167	312	A	Property	947
491	167	C	Property	948
167	214	B	Property	949
167	858	A	Property	950
168	809	B	Property	951
616	168	A	Property	952
169	340	A	Property	953
593	169	C	Property	954
169	272	B	Property	955
169	677	A	Property	956
169	758	C	Property	957
900	169	B	Property	958
169	404	A	Property	959
169	818	C	Property	960
169	616	B	Property	961
169	232	A	Property	962
170	668	B	Property	963
991	170	A	Property	964
170	335	C	Property	965
170	189	B	Property	966
170	231	A	Property	967
171	617	C	Property	968
171	957	B	Property	969
171	563	A	Property	970
291	171	C	Property	971
473	171	B	Property	972
171	219	A	Property	973
171	674	C	Property	974
993	171	B	Property	975
171	597	A	Property	976
478	172	A	Property	977
472	172	C	Property	978
229	172	B	Property	979
599	172	A	Property	980
173	452	A	Property	981
173	650	C	Property	982
173	927	B	Property	983
784	173	A	Property	984
173	832	C	Property	985
679	173	B	Property	986
480	173	A	Property	987
199	173	C	Property	988
954	173	B	Property	989
567	173	A	Property	990
174	271	A	Property	991
174	890	C	Property	992
174	423	B	Property	993
174	554	A	Property	994
259	174	C	Property	995
553	174	B	Property	996
955	174	A	Property	997
562	174	C	Property	998
174	640	B	Property	999
757	174	A	Property	1000
175	405	A	Property	1001
273	176	A	Property	1002
176	460	C	Property	1003
176	421	B	Property	1004
815	176	A	Property	1005
176	924	C	Property	1006
734	176	B	Property	1007
492	176	A	Property	1008
176	836	C	Property	1009
437	176	B	Property	1010
891	176	A	Property	1011
177	933	B	Property	1012
483	177	A	Property	1013
473	178	B	Property	1014
178	387	A	Property	1015
998	179	A	Property	1016
179	239	C	Property	1017
894	179	B	Property	1018
859	179	A	Property	1019
180	787	A	Property	1020
180	292	C	Property	1021
628	180	B	Property	1022
351	180	A	Property	1023
493	180	C	Property	1024
299	180	B	Property	1025
515	180	A	Property	1026
180	180	C	Property	1027
755	180	B	Property	1028
403	180	A	Property	1029
181	703	A	Property	1030
181	926	C	Property	1031
181	826	B	Property	1032
181	229	A	Property	1033
181	343	C	Property	1034
181	447	B	Property	1035
181	504	A	Property	1036
801	181	C	Property	1037
181	373	B	Property	1038
318	181	A	Property	1039
770	182	A	Property	1040
294	182	C	Property	1041
505	182	B	Property	1042
182	933	A	Property	1043
182	896	C	Property	1044
182	452	B	Property	1045
182	753	A	Property	1046
781	183	A	Property	1047
183	453	C	Property	1048
566	183	B	Property	1049
183	265	A	Property	1050
184	785	B	Property	1051
430	184	A	Property	1052
185	776	A	Property	1053
496	185	C	Property	1054
185	425	B	Property	1055
934	185	A	Property	1056
186	315	C	Property	1057
186	655	B	Property	1058
186	969	A	Property	1059
187	446	A	Property	1060
315	187	C	Property	1061
187	211	B	Property	1062
378	187	A	Property	1063
187	931	C	Property	1064
954	187	B	Property	1065
187	405	A	Property	1066
317	187	C	Property	1067
250	187	B	Property	1068
187	538	A	Property	1069
257	188	C	Property	1070
287	188	B	Property	1071
366	188	A	Property	1072
188	397	C	Property	1073
188	541	B	Property	1074
824	188	A	Property	1075
270	188	C	Property	1076
892	188	B	Property	1077
321	188	A	Property	1078
476	189	B	Property	1079
609	189	A	Property	1080
716	189	C	Property	1081
667	189	B	Property	1082
275	189	A	Property	1083
190	975	A	Property	1084
494	190	C	Property	1085
802	190	B	Property	1086
190	339	A	Property	1087
808	190	C	Property	1088
273	190	B	Property	1089
970	190	A	Property	1090
190	477	C	Property	1091
190	395	B	Property	1092
798	190	A	Property	1093
957	191	B	Property	1094
210	191	A	Property	1095
764	191	C	Property	1096
515	191	B	Property	1097
191	509	A	Property	1098
293	192	B	Property	1099
321	192	A	Property	1100
247	192	C	Property	1101
966	192	B	Property	1102
192	549	A	Property	1103
193	476	A	Property	1104
740	194	B	Property	1105
308	194	A	Property	1106
530	194	C	Property	1107
687	194	B	Property	1108
978	194	A	Property	1109
752	194	C	Property	1110
675	194	B	Property	1111
261	194	A	Property	1112
725	195	B	Property	1113
195	813	A	Property	1114
397	195	C	Property	1115
195	411	B	Property	1116
898	195	A	Property	1117
506	196	A	Property	1118
888	196	C	Property	1119
986	196	B	Property	1120
196	233	A	Property	1121
196	821	C	Property	1122
379	196	B	Property	1123
663	196	A	Property	1124
197	755	B	Property	1125
197	757	A	Property	1126
682	197	C	Property	1127
197	444	B	Property	1128
197	971	A	Property	1129
645	198	B	Property	1130
848	198	A	Property	1131
982	199	C	Property	1132
897	199	B	Property	1133
532	199	A	Property	1134
890	199	C	Property	1135
199	305	B	Property	1136
199	459	A	Property	1137
509	199	C	Property	1138
199	625	B	Property	1139
458	199	A	Property	1140
226	200	C	Property	1141
579	200	B	Property	1142
615	200	A	Property	1143
201	361	A	Property	1144
600	201	C	Property	1145
553	201	B	Property	1146
637	201	A	Property	1147
895	201	C	Property	1148
881	201	B	Property	1149
201	675	A	Property	1150
415	201	C	Property	1151
299	201	B	Property	1152
201	459	A	Property	1153
202	217	A	Property	1154
202	963	C	Property	1155
202	834	B	Property	1156
471	202	A	Property	1157
708	203	C	Property	1158
203	238	B	Property	1159
587	203	A	Property	1160
952	204	C	Property	1161
204	590	B	Property	1162
333	204	A	Property	1163
667	204	C	Property	1164
560	204	B	Property	1165
433	204	A	Property	1166
204	746	C	Property	1167
204	810	B	Property	1168
864	204	A	Property	1169
644	205	C	Property	1170
205	860	B	Property	1171
486	205	A	Property	1172
205	828	C	Property	1173
419	205	B	Property	1174
349	205	A	Property	1175
206	899	A	Property	1176
548	206	C	Property	1177
206	678	B	Property	1178
206	286	A	Property	1179
206	594	C	Property	1180
206	357	B	Property	1181
966	206	A	Property	1182
284	207	B	Property	1183
207	405	A	Property	1184
208	450	A	Property	1185
939	209	A	Property	1186
716	210	B	Property	1187
210	940	A	Property	1188
210	942	C	Property	1189
278	210	B	Property	1190
210	330	A	Property	1191
383	210	C	Property	1192
210	683	B	Property	1193
210	682	A	Property	1194
211	989	B	Property	1195
618	211	A	Property	1196
211	472	C	Property	1197
211	457	B	Property	1198
211	687	A	Property	1199
212	849	B	Property	1200
660	212	A	Property	1201
213	386	B	Property	1202
213	392	A	Property	1203
213	875	C	Property	1204
600	213	B	Property	1205
255	213	A	Property	1206
394	213	C	Property	1207
213	421	B	Property	1208
213	794	A	Property	1209
214	613	B	Property	1210
876	214	A	Property	1211
394	214	C	Property	1212
333	214	B	Property	1213
300	214	A	Property	1214
269	215	A	Property	1215
696	215	C	Property	1216
220	215	B	Property	1217
741	215	A	Property	1218
215	991	C	Property	1219
411	215	B	Property	1220
215	437	A	Property	1221
215	744	C	Property	1222
611	215	B	Property	1223
378	215	A	Property	1224
216	377	A	Property	1225
238	217	A	Property	1226
218	273	B	Property	1227
770	218	A	Property	1228
554	219	A	Property	1229
219	526	C	Property	1230
219	819	B	Property	1231
219	466	A	Property	1232
219	397	C	Property	1233
855	219	B	Property	1234
219	942	A	Property	1235
262	220	C	Property	1236
320	220	B	Property	1237
682	220	A	Property	1238
221	225	C	Property	1239
803	221	B	Property	1240
553	221	A	Property	1241
221	958	C	Property	1242
909	221	B	Property	1243
221	988	A	Property	1244
937	221	C	Property	1245
221	886	B	Property	1246
